AliasNamespace,AliasId,CanonicalUnifiedAssetId,AliasStatus,AliasType,AliasName,SourceType,SourceDetail
ATLAS_LOGICAL,ATLAS::ui/Battle/image/battle_pack_99.plist::icon_field_condition_014.png,ATLAS::ATLAS::ui/Battle/image/battle_pack_99.plist::icon_field_condition_010.png,READY,EXACT_VISUAL_DUPLICATE,icon_field_condition_014.png,ATLAS_SPRITE,Plist=ui/Battle/image/battle_pack_99.plist;Atlas=ui/Battle/image/battle_pack_99.png;Chain=ATLAS::ui/Battle/image/battle_pack_99.plist::icon_field_condition_014.png -> ATLAS::ui/Battle/image/battle_pack_99.plist::icon_field_condition_010.png
ATLAS_LOGICAL,ATLAS::ui/Battle/image/battle_pack_99.plist::icon_field_condition_015.png,ATLAS::ATLAS::ui/Battle/image/battle_pack_99.plist::icon_field_condition_011.png,READY,EXACT_VISUAL_DUPLICATE,icon_field_condition_015.png,ATLAS_SPRITE,Plist=ui/Battle/image/battle_pack_99.plist;Atlas=ui/Battle/image/battle_pack_99.png;Chain=ATLAS::ui/Battle/image/battle_pack_99.plist::icon_field_condition_015.png -> ATLAS::ui/Battle/image/battle_pack_99.plist::icon_field_condition_011.png
ATLAS_LOGICAL,ATLAS::ui/Battle/image/battle_pack_99.plist::icon_field_condition_016.png,ATLAS::ATLAS::ui/Battle/image/battle_pack_99.plist::icon_field_condition_013.png,READY,EXACT_VISUAL_DUPLICATE,icon_field_condition_016.png,ATLAS_SPRITE,Plist=ui/Battle/image/battle_pack_99.plist;Atlas=ui/Battle/image/battle_pack_99.png;Chain=ATLAS::ui/Battle/image/battle_pack_99.plist::icon_field_condition_016.png -> ATLAS::ui/Battle/image/battle_pack_99.plist::icon_field_condition_013.png
ATLAS_LOGICAL,ATLAS::ui/Battle/image/battle_pack_99.plist::img_ptcl_dot_noise.png,ATLAS::ATLAS::ui/Common/image/img_common_01.plist::white_2.png,READY,EXACT_VISUAL_DUPLICATE,img_ptcl_dot_noise.png,ATLAS_SPRITE,Plist=ui/Battle/image/battle_pack_99.plist;Atlas=ui/Battle/image/battle_pack_99.png;Chain=ATLAS::ui/Battle/image/battle_pack_99.plist::img_ptcl_dot_noise.png -> ATLAS::ui/Common/image/img_common_01.plist::white_2.png
ATLAS_LOGICAL,ATLAS::ui/Battle/image/battle_pack_99.plist::new_panel_sozai/hp_bar/gauge_hp_g_base.png,ATLAS::ATLAS::ui/Common/image/img_common_01.plist::hp_bar_ally_enemy/gauge_hp_g_base.png,READY,EXACT_VISUAL_DUPLICATE,new_panel_sozai/hp_bar/gauge_hp_g_base.png,ATLAS_SPRITE,Plist=ui/Battle/image/battle_pack_99.plist;Atlas=ui/Battle/image/battle_pack_99.png;Chain=ATLAS::ui/Battle/image/battle_pack_99.plist::new_panel_sozai/hp_bar/gauge_hp_g_base.png -> ATLAS::ui/Common/image/img_common_01.plist::hp_bar_ally_enemy/gauge_hp_g_base.png
ATLAS_LOGICAL,ATLAS::ui/Battle/image/battle_pack_99.plist::new_panel_sozai/hp_bar/gauge_hp_g_s.png,ATLAS::ATLAS::ui/Common/image/img_common_01.plist::hp_bar_ally_enemy/gauge_hp_g_s.png,READY,EXACT_VISUAL_DUPLICATE,new_panel_sozai/hp_bar/gauge_hp_g_s.png,ATLAS_SPRITE,Plist=ui/Battle/image/battle_pack_99.plist;Atlas=ui/Battle/image/battle_pack_99.png;Chain=ATLAS::ui/Battle/image/battle_pack_99.plist::new_panel_sozai/hp_bar/gauge_hp_g_s.png -> ATLAS::ui/Common/image/img_common_01.plist::hp_bar_ally_enemy/gauge_hp_g_s.png
ATLAS_LOGICAL,ATLAS::ui/Battle/image/battle_pack_99.plist::new_panel_sozai/hp_bar/hp_gauge_01.png,ATLAS::ATLAS::ui/Common/image/img_common_01.plist::hp_gauge_01.png,READY,EXACT_VISUAL_DUPLICATE,new_panel_sozai/hp_bar/hp_gauge_01.png,ATLAS_SPRITE,Plist=ui/Battle/image/battle_pack_99.plist;Atlas=ui/Battle/image/battle_pack_99.png;Chain=ATLAS::ui/Battle/image/battle_pack_99.plist::new_panel_sozai/hp_bar/hp_gauge_01.png -> ATLAS::ui/Common/image/img_common_01.plist::hp_gauge_01.png
ATLAS_LOGICAL,ATLAS::ui/Battle/image/battle_pack_99.plist::new_panel_sozai/hp_bar/hp_gauge_02.png,ATLAS::ATLAS::ui/Common/image/img_common_01.plist::hp_gauge_02.png,READY,EXACT_VISUAL_DUPLICATE,new_panel_sozai/hp_bar/hp_gauge_02.png,ATLAS_SPRITE,Plist=ui/Battle/image/battle_pack_99.plist;Atlas=ui/Battle/image/battle_pack_99.png;Chain=ATLAS::ui/Battle/image/battle_pack_99.plist::new_panel_sozai/hp_bar/hp_gauge_02.png -> ATLAS::ui/Common/image/img_common_01.plist::hp_gauge_02.png
ATLAS_LOGICAL,ATLAS::ui/Battle/image/battle_pack_99.plist::new_panel_sozai/hp_bar/hp_gauge_03.png,ATLAS::ATLAS::ui/Common/image/img_common_01.plist::hp_gauge_03.png,READY,EXACT_VISUAL_DUPLICATE,new_panel_sozai/hp_bar/hp_gauge_03.png,ATLAS_SPRITE,Plist=ui/Battle/image/battle_pack_99.plist;Atlas=ui/Battle/image/battle_pack_99.png;Chain=ATLAS::ui/Battle/image/battle_pack_99.plist::new_panel_sozai/hp_bar/hp_gauge_03.png -> ATLAS::ui/Common/image/img_common_01.plist::hp_gauge_03.png
ATLAS_LOGICAL,ATLAS::ui/Battle/image/battle_pack_99.plist::new_panel_sozai/hp_bar/hp_gauge_04.png,ATLAS::ATLAS::ui/Common/image/img_common_01.plist::hp_gauge_04.png,READY,EXACT_VISUAL_DUPLICATE,new_panel_sozai/hp_bar/hp_gauge_04.png,ATLAS_SPRITE,Plist=ui/Battle/image/battle_pack_99.plist;Atlas=ui/Battle/image/battle_pack_99.png;Chain=ATLAS::ui/Battle/image/battle_pack_99.plist::new_panel_sozai/hp_bar/hp_gauge_04.png -> ATLAS::ui/Common/image/img_common_01.plist::hp_gauge_04.png
