SourceIdentity,SourceRelativePath,SHA256,OriginalRelation,OriginalCanonicalAssetId,OriginalCanonicalPublicPath,FinalRelation,FinalRepresentationAssetId,FinalRepresentationPublicPath,TargetScope,SourceDomain,SourceSubdomain
STANDALONE_UI::Effects/Textures/UI/ktx/Tx_UnitDetailGrad01.ktx.png,Effects/Textures/UI/ktx/Tx_UnitDetailGrad01.ktx.png,C275F47111F7C0076346434986B166588B580B854AAE0E87DC69AF7802438D6C,CANONICAL_SOURCE_OWNER,STANDALONE_UI::Effects/Textures/UI/ktx/Tx_UnitDetailGrad01.ktx.png,UI/Effects/Textures/UI/ktx/Tx_UnitDetailGrad01.png,MATERIALIZED_CANONICAL_SOURCE,STANDALONE_UI::Effects/Textures/UI/ktx/Tx_UnitDetailGrad01.ktx.png,UI/Effects/Textures/UI/ktx/Tx_UnitDetailGrad01.png,STANDALONE,Effects,Effects/Textures
STANDALONE_UI::Effects/Textures/UI/ktx/Tx_UnitDetail_Mask.ktx.png,Effects/Textures/UI/ktx/Tx_UnitDetail_Mask.ktx.png,B6DFDFDED93DDD8684646EEA3CC4A4C83CCE9981F3B6621C9126A7CE09057C28,CANONICAL_SOURCE_OWNER,STANDALONE_UI::Effects/Textures/UI/ktx/Tx_UnitDetail_Mask.ktx.png,UI/Effects/Textures/UI/ktx/Tx_UnitDetail_Mask.png,MATERIALIZED_CANONICAL_SOURCE,STANDALONE_UI::Effects/Textures/UI/ktx/Tx_UnitDetail_Mask.ktx.png,UI/Effects/Textures/UI/ktx/Tx_UnitDetail_Mask.png,STANDALONE,Effects,Effects/Textures
STANDALONE_UI::ui/Battle/image/terastal_base_gauge.ktx.png,ui/Battle/image/terastal_base_gauge.ktx.png,CA09DFA912D6526519A04CD56B09132A68E3EEBE9F96B16EDE5971EE07264338,CANONICAL_SOURCE_OWNER,STANDALONE_UI::ui/Battle/image/terastal_base_gauge.ktx.png,UI/Battle/image/terastal_base_gauge.png,MATERIALIZED_CANONICAL_SOURCE,STANDALONE_UI::ui/Battle/image/terastal_base_gauge.ktx.png,UI/Battle/image/terastal_base_gauge.png,STANDALONE,ui/Battle,ui/Battle/image
STANDALONE_UI::ui/Battle/image/terastal_reserve_eff.ktx.png,ui/Battle/image/terastal_reserve_eff.ktx.png,2BB912F2A4355C95C6C019268E773B5F9873276D07C4037FA57E60A7F8ED0704,CANONICAL_SOURCE_OWNER,STANDALONE_UI::ui/Battle/image/terastal_reserve_eff.ktx.png,UI/Battle/image/terastal_reserve_eff.png,MATERIALIZED_CANONICAL_SOURCE,STANDALONE_UI::ui/Battle/image/terastal_reserve_eff.ktx.png,UI/Battle/image/terastal_reserve_eff.png,STANDALONE,ui/Battle,ui/Battle/image
STANDALONE_UI::ui/BingoMission/image/bingo_character_01.ktx.png,ui/BingoMission/image/bingo_character_01.ktx.png,EAAD56A82EDCDB05BA23C9C2F79D942BEAD902FC8A85C0D0BF0FB03D90B0023C,CANONICAL_SOURCE_OWNER,STANDALONE_UI::ui/BingoMission/image/bingo_character_01.ktx.png,UI/BingoMission/image/bingo_character_01.png,MATERIALIZED_CANONICAL_SOURCE,STANDALONE_UI::ui/BingoMission/image/bingo_character_01.ktx.png,UI/BingoMission/image/bingo_character_01.png,STANDALONE,ui/BingoMission,ui/BingoMission/image
STANDALONE_UI::ui/Cafe/Common/image/academy_cell_line_eff.ktx.png,ui/Cafe/Common/image/academy_cell_line_eff.ktx.png,047509F51B61C5DC2E515AD3CF408A74C000AE5C8C1D86B17770BFB0B3D667F1,CANONICAL_SOURCE_OWNER,STANDALONE_UI::ui/Cafe/Common/image/academy_cell_line_eff.ktx.png,UI/Cafe/Common/image/academy_cell_line_eff.png,MATERIALIZED_CANONICAL_SOURCE,STANDALONE_UI::ui/Cafe/Common/image/academy_cell_line_eff.ktx.png,UI/Cafe/Common/image/academy_cell_line_eff.png,STANDALONE,ui/Cafe,ui/Cafe/Common
STANDALONE_UI::ui/Cafe/Common/image/mask_gradation.ktx.png,ui/Cafe/Common/image/mask_gradation.ktx.png,CA4BC0FEE0A65A9E01D2E46D5A4F449B99330623E4F128078128478EBEAE06C8,EXACT_DUPLICATE_SOURCE_ALIAS,STANDALONE_UI::ui/Common/image/pattern/mask_gradation.ktx.png,UI/Common/image/pattern/mask_gradation.png,EXACT_DUPLICATE_SOURCE_ALIAS,STANDALONE_UI::ui/Common/image/pattern/mask_gradation.ktx.png,UI/Common/image/pattern/mask_gradation.png,STANDALONE,ui/Cafe,ui/Cafe/Common
STANDALONE_UI::ui/Common/AssetDL/image/ch0015_00_takeshi_256.ktx.png,ui/Common/AssetDL/image/ch0015_00_takeshi_256.ktx.png,3A7C24742F637C8DFA2F817247DBD5248754AE2B0CA90A503E8E73C934B3371A,CANONICAL_SOURCE_OWNER,STANDALONE_UI::ui/Common/AssetDL/image/ch0015_00_takeshi_256.ktx.png,UI/Common/AssetDL/image/ch0015_00_takeshi_256.png,MATERIALIZED_CANONICAL_SOURCE,STANDALONE_UI::ui/Common/AssetDL/image/ch0015_00_takeshi_256.ktx.png,UI/Common/AssetDL/image/Brock [ch0015_00] - 256.png,STANDALONE,ui/Common,ui/Common/AssetDL
STANDALONE_UI::ui/Common/AssetDL/image/ch0019_00_yuki_256.ktx.png,ui/Common/AssetDL/image/ch0019_00_yuki_256.ktx.png,C0D5F6273486E5EAAD39DFC06881BE1F502E150F93F3792A8DE630CAEF01F600,CANONICAL_SOURCE_OWNER,STANDALONE_UI::ui/Common/AssetDL/image/ch0019_00_yuki_256.ktx.png,UI/Common/AssetDL/image/ch0019_00_yuki_256.png,MATERIALIZED_CANONICAL_SOURCE,STANDALONE_UI::ui/Common/AssetDL/image/ch0019_00_yuki_256.ktx.png,UI/Common/AssetDL/image/Brendan [ch0019_00] - 256.png,STANDALONE,ui/Common,ui/Common/AssetDL
STANDALONE_UI::ui/Common/AssetDL/image/ch0021_00_green_256.ktx.png,ui/Common/AssetDL/image/ch0021_00_green_256.ktx.png,DF62EFB4E0670A138889CB64C972EDAF2D89656AB2274DD61B95715BA42DBCB5,CANONICAL_SOURCE_OWNER,STANDALONE_UI::ui/Common/AssetDL/image/ch0021_00_green_256.ktx.png,UI/Common/AssetDL/image/ch0021_00_green_256.png,MATERIALIZED_CANONICAL_SOURCE,STANDALONE_UI::ui/Common/AssetDL/image/ch0021_00_green_256.ktx.png,UI/Common/AssetDL/image/Blue [ch0021_00] - 256.png,STANDALONE,ui/Common,ui/Common/AssetDL
